aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20100121026239I,21-JAN-10,TETERBORO,NJ,TETERBORO,INCIDENT,NONE,TAXI,CESSNA,CITATIONJET (C525),B,NULL,NULL,GENERAL OPERATING RULES,NULL,83TF ,0,0,WILLIA,FJ44-3A      ,NULL,2,AIRLINE TRANSPORT,3000,1200,NULL,NULL
20100121027669I,21-JAN-10,SAN DIEGO,CA,SAN DIEGO INTL,INCIDENT,MINOR,LANDING: ROLLOUT,BOEING,737,300,SOUTHWEST AIRLINES CO,NULL,AIR CARRIER/COMMERCIAL,NULL,398SW,0,0,CFM IN,CFM56 SERIES ,NULL,NULL,AIRLINE TRANSPORT,9369,9369,NULL,NULL
20100122026379I,22-JAN-10,FARMINGTON HILLS,MI,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,BELL,BHT-206,BHT-206-B3,HELICOPTERS INC,NULL,GENERAL OPERATING RULES,NULL,2BQ  ,0,0,ALLISO,250-C20      ,C-20  ,NULL,COMMERCIAL PILOT,17000,14300,NULL,NULL
20100122027909I,22-JAN-10,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CANADAIR-BOMBARDIER,CHALLENGER,600,ATLANTIC SOUTHEAST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,846AS,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL
20100122043839I,22-JAN-10,KOYUK,AK,KOYUK ALFRED ADAMS,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-207,CE-207-A,ARCTIC TRANSPORTATION SERVICES INC,NULL,AIR TAXI/COMMUTER,NULL,7605U,0,0,CONT M,IO 520 SERIES,RECIPR,1,COMMERCIAL PILOT,2522,1300,NULL,NULL
20100123026349I,23-JAN-10,WINNEMUCCA,NV,WINNEMUCCA MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-210,CE-210-E,NULL,NULL,GENERAL OPERATING RULES,NULL,2315F,0,0,CONT M,IO 520 SERIES,NULL,1,PRIVATE PILOT,583,42,NULL,NULL
20100123026369I,23-JAN-10,KERNERSVILLE,NC,NULL,INCIDENT,SUBSTANTIAL,GROUND-RAMP,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,132DH,0,1,BOMBAR,ROTAX (ALL)  ,582   ,NULL,PRIVATE PILOT,1000,300,NULL,NULL
20100123026569I,23-JAN-10,TROUTDALE,OR,PORTLAND-TROUTDALE,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-N,GORGE WINDS AVIATION INC,NULL,GENERAL OPERATING RULES,NULL,172MR,0,0,LYCOMI,NULL,NULL,1,STUDENT,19,19,NULL,NULL
20100123027129I,23-JAN-10,CAMARILLO,CA,CAMARILLO,INCIDENT,MINOR,LANDING: ROLLOUT,MOONEY,M-20,M-20-E,NULL,NULL,GENERAL OPERATING RULES,NULL,9229M,0,0,LYCOMI,I0360 SER    ,UNK   ,1,PRIVATE PILOT,1700,1000,NULL,NULL
20100123029189I,23-JAN-10,DENVER,CO,DENVER INTL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,AIRBUS,A320,230,UNITED AIR LINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,449UA,0,0,IAE   ,V2500SERIES  ,NULL,NULL,NULL,0,0,NULL,NULL
